Tijdstempel,Nummer deelnemer,FAINTED | Herkent de opname als,FAINTED | Foutloos,FAINTED | Aantal fouten,BURN | Herkent de opname als,BURN | Foutloos,BURN | Aantal fouten,BACKACHE | Herkent de opname als,BACKACHE | Foutloos,BACKACHE | Aantal fouten,FAINTED | Herkent de opname als,FAINTED | Foutloos,FAINTED | Aantal fouten,BURN | Herkent de opname als,BURN | Foutloos,BURN | Aantal fouten,BACKACHE | Herkent de opname als,BACKACHE | Foutloos,BACKACHE | Aantal fouten,,,,,,,,,,,,,,,,,,
2019/05/27 7:50:15 p.m. EET,1,someone it and now he's not really anymore,Nee,2,help me with a boner,Nee,1,i had to bend over for a mole day and i have a little trouble with my back,Nee,1,someone fainted and now he is not breathing anymore,Ja,0,help me with a burn,Ja,0,i had to bend over all day and i have a little trouble with my back,Nee,1,4,0,0,Nee,Nee,Nee,Ja,ik heb mijn hele dag met een buggy en daardoor heb ik een beetje last van mijn rug,Nee,Nee,Nee,help me met een brandwonde,Nee,Nee,Nee,Ja,Nee,er is iemand flauwgevallen en nu ademt hij niet meer
2019/05/27 8:02:21 p.m. EET,2,announce he is not reaching anymore,Nee,4,help me with a bird,Nee,1,i had to bend over for a hole i have a little trouble with my back,Nee,4,someone fainted and now he is not breathing anymore,Ja,0,help me with a burn,Ja,0,i had to bend over i have a little,Nee,9,2,3,4,Nee,Nee,Nee,Nee,ik heb een hele dag moeten kunnen en daardoor heb ik een beetje last aan mijn rug,Nee,Nee,Nee,met een brandwond,Nee,Nee,Nee,Nee,Nee,er is iemand gevallen en nu niets meer
2019/05/27 8:17:40 p.m. EET,3,someone painted analogous,Nee,8,help me,Nee,3,i had to let over for a whole day and they have a little trouble with my bag,Nee,3,someone beaten,Nee,8,how to mirror,Nee,5,i hadn't met up for a whole day and then i have a little trouble,Nee,8,50,1,5,Nee,Nee,Nee,Nee,ik heb een hele dag werken,Nee,Nee,Nee,help me met een brandwond,Nee,Nee,Nee,Nee,Nee,er is iemand gevallen en nu
2019/05/27 8:30:45 p.m. EET,4,someone hated and it's not green anymore,Nee,5,tell me the,Nee,4,i had to bend over for a day and i have a little star war but my back,Nee,3,someone fainted then now,Nee,6,camila bernal,Nee,5,/,Nee,18,,,,Nee,Nee,,,,Nee,Nee,,,,,Nee,,Nee,
2019/05/27 8:36:49 p.m. EET,5,announce,Nee,9,hello universe,Nee,5,i had a little over,Nee,11,someone feeling a noun,Nee,8,help me with a bear,Nee,1,i had to bend over for a holiday and have a little trouble with my back,Nee,1,,,,Nee,Nee,,,,Nee,Nee,,,,,Nee,,Nee,
2019/05/27 8:44:36 p.m. EET,6,someone favorite and now it's not breathing anymore,Nee,2,tell me with a good,Nee,2,i had to bend over for a whole way and i have a little trouble with my back,Nee,1,someone fitted and now it's not breathing anymore,Nee,2,help me,Nee,3,i had to bend over for a whole day and i have a little trouble with my back,Ja,0,,,,Nee,Nee,,,,Nee,Nee,,,,,Nee,,Nee,
2019/05/28 12:35:41 p.m. EET,7,solo faded i'm still breathing anymore,Nee,7,bill,Nee,5,i have to bend over for a holiday and i have a little trouble with my back,Nee,2,someone fainted and i'm still breathing,Nee,5,help me with,Nee,2,i have to bend over for a whole day and i have a little trouble with my back,Nee,1,,,,,,,,,,,,,,,,,,
2019/05/28 12:40:46 p.m. EET,8,something good and now it's not a breathing anymore,Nee,3,help me with a burn,Ja,0,i have a little trouble with my back,Nee,10,something testimonies knokke,Nee,9,/,Nee,5,i have to bend over for all day and i have a little trouble with my mac,Nee,3,,,,,,,,,,,,,,,,,,
2019/05/28 12:56:24 p.m. EET,9,/,Nee,9,help me with a bird,Nee,1,play happy birthday,Nee,17,someone said,Nee,8,/,Nee,5,/,Nee,18,,,,,,,,,,,,,,,,,,
2019/05/28 1:00:48 p.m. EET,10,someone painters and now use not raising anymore,Nee,4,help me remember,Nee,3,i had to bend over for a robot i am a little,Nee,8,someone is not anymore,Nee,5,help me remember,Nee,3,/,Nee,18,,,,,,,,,,,,,,,,,,
2019/05/28 1:28:23 p.m. EET,11,/,Nee,9,help me with a bird,Nee,1,i had to built over for all day and i have a little trouble with my dick,Nee,3,someone better now,Nee,7,help me with your bird,Nee,2,/,Nee,18,,,,,,,,,,,,,,,,,,
2019/05/28 1:31:23 p.m. EET,12,someone,Nee,8,help me with a bird,Nee,1,i had to bend over girl whole day and i have a little trouble with my back,Nee,2,/,Nee,9,/,Nee,5,and i have a little trouble,Nee,12,,,,,,,,,,,,,,,,,,
2019/05/28 1:35:02 p.m. EET,13,smoothing this and now he's he's not reading anymore,Nee,3,help me with the bird,Nee,2,i had to bend over for a movie and i had a little trouble with my bitch,Nee,4,someone,Nee,8,/,Nee,5,i hate window,Nee,17,,,,,,,,,,,,,,,,,,
2019/05/28 1:39:38 p.m. EET,14,someone ate it and is looks grating anymore,Nee,5,help me with a burn,Ja,0,i have to bend over for a whole day and i have a little trouble with my back,Nee,1,someone feeding,Nee,8,help me,Nee,3,i had to pop over for a whole day and i have a little trouble with my back,Nee,1,,,,,,,,,,,,,,,,,,
2019/05/28 1:47:18 p.m. EET,15,search,Nee,9,help me with the bird,Nee,2,add to build or for a robe a and a little to open my back,Nee,11,salad fingers,Nee,9,/,Nee,5,i had a bit lower for a whole day and i love you too with my bed,Nee,8,,,,,,,,,,,,,,,,,,
2019/05/28 3:01:13 p.m. EET,16,hang up,Nee,9,help me get the bird,Nee,3,/,Nee,18,someone fingers and now he's not really anymore,Nee,2,tell me the bird,Nee,4,/,Nee,18,,,,,,,,,,,,,,,,,,
2019/05/28 3:04:39 p.m. EET,17,someone fainted,Nee,7,help me with a bird,Nee,1,i had to bend over for a whole day and i have a little trouble with my back,Ja,0,someone fainted and now he's not really anymore,Nee,1,/,Nee,5,i have to bend over for all day and i have a little trouble with my back,Nee,2,,,,,,,,,,,,,,,,,,
2019/05/28 3:07:13 p.m. EET,18,someone faded and now he's not playing anymore,Nee,2,how do you get a bird,Nee,4,i want to buy over for a whole day and have a little trouble with my back,Nee,3,/,Nee,9,/,Nee,5,i had to bend over for a hallway and i have a little trouble with my back,Nee,2,,,,,,,,,,,,,,,,,,
2019/05/28 3:09:53 p.m. EET,19,someone thinking fainted,Nee,7,help me with a burn,Ja,0,i had to bend over for a whole day and i have,Nee,6,someone fainting,Nee,8,/,Nee,5,i had to bend over for a hubby and i have allowed to go with my bags,Nee,6,,,,,,,,,,,,,,,,,,
2019/05/28 3:28:14 p.m. EET,20,announce is not more,Nee,7,help me with bird,Nee,2,i had to bend over for a whole day ,Nee,9,someone fainted and now you're still breathing anymore,Nee,3,/,Nee,5,i had to bend over for a holiday and now i have a little trouble in my back,Nee,2,,,,,,,,,,,,,,,,,,
2019/05/28 3:30:20 p.m. EET,21,someone,Nee,8,help me with a bird,Nee,1,i had to bend over and i have a little trouble with my back,Nee,4,/,Nee,9,/,Nee,5,i had to bend over for a whole day i have a little trouble with my back,Nee,1,,,,,,,,,,,,,,,,,,
2019/05/28 3:32:51 p.m. EET,22,someone fainted and now he's not really anymore,Nee,1,help me with a bird,Nee,1,uber for a whole day,Nee,14,someone fainted and how is not breathing anymore,Nee,2,/,Nee,5,i had to go for a whole day and have a little trouble with my car,Nee,4,,,,,,,,,,,,,,,,,,
2019/05/28 3:36:16 p.m. EET,23,someone saying that,Nee,8,how old irma,Nee,5,i had to bend over for a whole day now i have a little trouble with my back,Nee,1,someone ended,Nee,8,how many winners,Nee,5,i had to bend over for a hyundai mower have little trouble with my back,Nee,5,,,,,,,,,,,,,,,,,,
2019/05/28 3:39:58 p.m. EET,24,someone feed,Nee,8,help me with the bird,Nee,2,i had to,Nee,15,someone fainted and now he is not breathing,Nee,1,help me with the bird,Nee,2,i have a bent over for a whole day and i have a little trouble with my back,Nee,2,,,,,,,,,,,,,,,,,,
2019/05/28 3:49:08 p.m. EET,25,someone clayton's,Nee,8,help me with the bird,Nee,2,add pandora for whole day and i had a now i have a little trouble in my bag,Nee,8,someone fainted and now he's not breathing anymore,Ja,0,/,Nee,5,at the bands for all day and i have and now i have a little trouble with my back,Nee,6,,,,,,,,,,,,,,,,,,
2019/05/28 3:51:11 p.m. EET,26,/,Nee,9,help me with a bird,Nee,1,i had to bat over for a movie and i have a little trouble with my back,Nee,3,/,Nee,9,/,Nee,5,i had to battle for the whole day and i had a little trouble with my back,Nee,4,,,,,,,,,,,,,,,,,,
2019/05/28 3:54:19 p.m. EET,27,song panda,Nee,9,/,Nee,5,/,Nee,18,someone fainted and now he's not free anymore,Nee,1,help with a burn,Nee,1,i have to burn all day,Nee,13,,,,,,,,,,,,,,,,,,
2019/05/28 4:17:05 p.m. EET,28,announce not anymore,Nee,7,help me,Nee,3,yeah,Nee,18,someone things and now is not breathing,Nee,3,help me,Nee,3,bent over,Nee,16,,,,,,,,,,,,,,,,,,
2019/05/28 4:21:37 p.m. EET,29,someone bagles and now he's not reading anymore,Nee,2,help me with a bird,Nee,1,i had to bend over for whole day and i have a little trouble with my back,Nee,1,someone bigots and now is not breeding anymore,Nee,3,help me with a burn,Ja,0,i had to bend up for a holiday and i have a little trouble with my bed,Nee,3,,,,,,,,,,,,,,,,,,
2019/05/28 4:25:31 p.m. EET,30,someone painted another,Nee,8,help me,Nee,3,i had to that over for a whole day and a half a little trouble with my back,Nee,3,someone fainted and now he's not working anymore,Nee,1,help me with a bird,Nee,1,that over for het body and i have a little trouble with my back,Nee,7,,,,,,,,,,,,,,,,,,
